Summary,Description,ValueScore,Effort,Priority,Labels,Epic,Reach,Impact,Confidence,RICE
Host Onboarding Wizard,"Guided flow to publish first listing in <10 mins",5,3,High,onboarding;host,Host Activation,2000,3,0.85,1700.00
Photo Quality Hints,"Inline ML tips for photo improvement",4,2,Medium,ml;ux,Host Activation,1200,2.5,0.8,1200.00
Review Integrity Layer,"Fraud pattern detection + weighted trust score",5,5,High,trust;fraud,Trust Fabric,2000,3,0.85,1020.00
Dynamic Pricing v1,"Baseline supply/demand model for nightly rate suggestions",5,5,High,pricing;data,Pricing Intelligence,2000,3,0.85,1020.00
Dispute Resolution Portal,"Unified UI for issue reporting and status tracking",4,3,High,trust;support,Trust Fabric,1200,2.5,0.8,800.00
Semantic Search Upgrade,"Intent + attribute filtering for faster match",4,4,Medium,search;ranking,Discovery,1200,2.5,0.8,600.00
Geo Expansion Playbook,"Repeatable checklist for new city launch",3,2,Medium,expansion,Market Expansion,800,2,0.7,560.00
Regulatory Compliance Tracker,"Dashboard of city-specific requirements",4,3,High,regulatory,Market Expansion,1200,2.5,0.8,800.00
Referral Program v1,"Incentives for hosts & guests to invite network",4,3,Medium,growth;referral,Growth Engine,1200,2.5,0.8,800.00
Fraud Analytics Dashboard,"Real-time anomaly & dispute metrics",5,4,High,trust;data,Trust Fabric,2000,3,0.85,1275.00
